Protein Name,String 1,String 2,String 3
VFG037358(gb|WP_001073030) (bauA) TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001073030,bauA,VF0467
"VFG037372(gb|WP_001104139) (bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]",gb|WP_001104139,bauB,VF0467
"VFG037386(gb|WP_000582115) (bauE) ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]",gb|WP_000582115,bauE,VF0467
"VFG037400(gb|WP_001223274) (bauC) ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]",gb|WP_001223274,bauC,VF0467
"VFG037414(gb|WP_012391956) (bauD) ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]",gb|WP_012391956,bauD,VF0467
VFG037428(gb|WP_000939834) (basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000939834,basB,VF0467
VFG037442(gb|WP_000910253) (basA) acinetobactin biosynthesis protein [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000910253,basA,VF0467
VFG037456(gb|WP_000160878) (bauF) siderophore-interacting protein [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000160878,bauF,VF0467
VFG037470(gb|WP_001105554) (ACICU_RS04565) LysR family transcriptional regulator [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001105554,ACICU_RS04565,VF0636
VFG037482(gb|WP_004748062) (ACICU_RS04570) sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_004748062,ACICU_RS04570,VF0636
VFG037490(gb|WP_001240499) (ACICU_RS04575) FecR domain-containing protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001240499,ACICU_RS04575,VF0636
VFG037497(gb|WP_085947929) (ACICU_RS04580) TonB-dependent receptor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_085947929,ACICU_RS04580,VF0636
VFG037505(gb|WP_002002089) (ACICU_RS04585) transferrin-binding protein-like solute binding protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_002002089,ACICU_RS04585,VF0636
VFG037513(gb|WP_085947930) (ACICU_RS04590) porin family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_085947930,ACICU_RS04590,VF0636
VFG037521(gb|WP_000837764) (ACICU_RS04595) TonB family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000837764,ACICU_RS04595,VF0636
VFG037529(gb|WP_002062720) (hemO) biliverdin-producing heme oxygenase [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_002062720,hemO,VF0636
VFG037537(gb|WP_000359621) (ACICU_RS04605) YbaN family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000359621,ACICU_RS04605,VF0636
VFG037547(gb|WP_000061137) (ACICU_RS04610) hypothetical protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000061137,ACICU_RS04610,VF0636
VFG037560(gb|WP_000790104) (csuA/B) Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000790104,csuA/B,VF0461
VFG037573 (csuA) Csu pilus subunit CsuA [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],csuA,VF0461,VFC0271
VFG037586(gb|WP_000876480) (csuB) Csu pilus subunit CsuB [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000876480,csuB,VF0461
VFG037599(gb|WP_001988023) (csuC) Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_001988023,csuC,VF0461
VFG037612(gb|WP_000603301) (csuD) Csu pilus usher protein CsuD [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000603301,csuD,VF0461
VFG037625(gb|WP_001022730) (csuE) Csu pilus tip adhesin CsuE [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_001022730,csuE,VF0461
VFG037638(gb|WP_193759656) (bap) biofilm-associated protein [Bap (VF0462) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_193759656,bap,VF0462
"VFG037650 (pgaA) poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]",pgaA,VF0472,VFC0271
"VFG037664(gb|WP_001061322) (pgaB) poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]",gb|WP_001061322,pgaB,VF0472
"VFG037678(gb|WP_000866237) (pgaC) poly-beta-1,6 N-acetyl-D-glucosamine synthase [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]",gb|WP_000866237,pgaC,VF0472
"VFG037692(gb|WP_000786639) (pgaD) poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]",gb|WP_000786639,pgaD,VF0472
VFG037705(gb|WP_000010636) (adeF) membrane-fusion protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000010636,adeF,VF0504
VFG037720(gb|WP_001027056) (adeG) cation/multidrug efflux pump [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_001027056,adeG,VF0504
VFG037735(gb|WP_000633124) (adeH) outer membrane protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000633124,adeH,VF0504
VFG037747(gb|WP_001984639) (lpxM) lysophospholipid acyltransferase family protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001984639,lpxM,VF0466
VFG037762(gb|WP_000078878) (lpxL) lauroyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000078878,lpxL,VF0466
VFG037777(gb|WP_000867091) (lpsB) glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000867091,lpsB,VF0466
VFG037792(gb|WP_000064875) (lpxA) acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000064875,lpxA,VF0466
VFG037807(gb|WP_000013434) (lpxB) lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000013434,lpxB,VF0466
VFG037822(gb|WP_000240700) (lpxC) UDP-3-O-acyl-N-acetylglucosamine deacetylase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000240700,lpxC,VF0466
VFG037837(gb|WP_000868104) (lpxD) UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000868104,lpxD,3-hydroxymyristoyl
VFG037852(gb|WP_001075965) (ACICU_RS00395) polysaccharide biosynthesis tyrosine autokinase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001075965,ACICU_RS00395,VF0465
VFG037867(gb|WP_001165990) (ACICU_RS00400) low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001165990,ACICU_RS00400,VF0465
VFG037882(gb|WP_000872593) (ACICU_RS00405) polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000872593,ACICU_RS00405,VF0465
VFG037897(gb|WP_001165095) (tviB) Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001165095,tviB,VF0465
"VFG037912(gb|WP_000939040) (pseB) UDP-N-acetylglucosamine 4,6-dehydratase (inverting) [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]",gb|WP_000939040,pseB,inverting
"VFG037927(gb|WP_000470518) (pseC) UDP-4-amino-4, 6-dideoxy-N-acetyl-beta-L-altrosamine transaminase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]",gb|WP_000470518,pseC,VF0465
VFG037942(gb|WP_001175206) (pseF) pseudaminic acid cytidylyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001175206,pseF,VF0465
"VFG037957(gb|WP_000666850) (pseG) UDP-2,4-diacetamido-2,4, 6-trideoxy-beta-L-altropyranose hydrolase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]",gb|WP_000666850,pseG,VF0465
"VFG037972(gb|WP_000886731) (pseH) UDP-4-amino-4, 6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]",gb|WP_000886731,pseH,VF0465
VFG037987(gb|WP_000037963) (pseI) pseudaminic acid synthase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000037963,pseI,VF0465
VFG038002(gb|WP_000172211) (ACICU_RS00445) hypothetical protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000172211,ACICU_RS00445,VF0465
VFG038017(gb|WP_001010045) (ACICU_RS00450) capsular polysaccharide synthesis protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001010045,ACICU_RS00450,VF0465
VFG038032 (ACICU_RS00455*) EpsG family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],ACICU_RS00455*,VF0465,VFC0258
VFG038047(gb|WP_000994240) (ACICU_RS00460) hypothetical protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000994240,ACICU_RS00460,VF0465
VFG038062(gb|WP_000515955) (ACICU_RS00465) hypothetical protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000515955,ACICU_RS00465,VF0465
VFG038077 (ACICU_RS00470*) glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],ACICU_RS00470*,VF0465,VFC0258
VFG038091(gb|WP_000826956) (ACICU_RS00475) sugar transferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000826956,ACICU_RS00475,VF0465
VFG038105(gb|WP_000591436) (galU) UTP--glucose-1-phosphate uridylyltransferase GalU [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000591436,galU,VF0465
VFG038119(gb|WP_000686134) (ACICU_RS00485) nucleotide sugar dehydrogenase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000686134,ACICU_RS00485,VF0465
VFG038132(gb|WP_000045495) (pgi) glucose-6-phosphate isomerase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000045495,pgi,VF0465
VFG038144(gb|WP_001062908) (galE) UDP-glucose 4-epimerase GalE [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_001062908,galE,VF0465
VFG038155(gb|WP_000209960) (ACICU_RS00500) phosphomannomutase/phosphoglucomutase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000209960,ACICU_RS00500,VF0465
VFG038176(gb|WP_000777882) (ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_000777882,ompA,VF0464
VFG038191(gb|WP_002023245) (abaI) N-acyl-L-homoserine lactone synthetase [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_002023245,abaI,VF0471
VFG038205(gb|WP_000446779) (abaR) DNA-binding HTH domain-containing protein [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],gb|WP_000446779,abaR,VF0471
VFG038249(gb|WP_003384760) (pbpG) D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],gb|WP_003384760,pbpG,VF0468
VFG050303(gb|WP_001045628.1) (ata) trimeric autotransporter adhesin Ata [Ata (VF1333) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001045628.1,ata,VF1333
VFG050313(gb|WP_004644147.1) (pilM) pilus assembly protein PilM [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_004644147.1,pilM,VF1334
VFG050328(gb|WP_000201227.1) (pilN) PilN domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000201227.1,pilN,VF1334
VFG050342(gb|WP_000076098.1) (pilO) type 4a pilus biogenesis protein PilO [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000076098.1,pilO,VF1334
VFG050357(gb|WP_000695065.1) (pilP) pilus assembly protein PilP [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000695065.1,pilP,VF1334
VFG050372(gb|WP_001017033.1) (pilQ) type IV pilus secretin PilQ [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001017033.1,pilQ,VF1334
VFG050386(gb|WP_000355489.1) (pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000355489.1,pilT,VF1334
VFG050400(gb|WP_000347039.1) (pilU) PilT/PilU family type 4a pilus ATPase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000347039.1,pilU,VF1334
VFG050414(gb|WP_002027454.1) (pilF) type IV pilus biogenesis/stability protein PilW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_002027454.1,pilF,VF1334
VFG050428(gb|WP_000128073.1) (fimV) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000128073.1,fimV,VF1334
VFG050443(gb|WP_000993715.1) (pilA) pilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000993715.1,pilA,VF1334
VFG050457(gb|WP_001274990.1) (pilB) type IV-A pilus assembly ATPase PilB [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001274990.1,pilB,VF1334
VFG050470(gb|WP_000279216.1) (pilC) type II secretion system F family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000279216.1,pilC,VF1334
VFG050484(gb|WP_001152285.1) (gspO/pilD) A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001152285.1,gspO/pilD,VF1334
VFG050499(gb|WP_000755268.1) (tsaP) LysM peptidoglycan-binding domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000755268.1,tsaP,VF1334
VFG050514(gb|WP_001214067.1) (fimU) GspH/FimT family pseudopilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001214067.1,fimU,VF1334
VFG050527(gb|WP_002194578.1) (pilV) type IV pilus modification protein PilV [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_002194578.1,pilV,VF1334
VFG050540(gb|WP_000079192.1) (pilW) PilW family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000079192.1,pilW,VF1334
VFG050554(gb|WP_000149377.1) (pilX) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000149377.1,pilX,VF1334
VFG050567(gb|WP_000768964.1) (pilY1) VWA domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000768964.1,pilY1,VF1334
VFG050581(gb|WP_001046420.1) (ACICU_RS16840) prepilin-type N-terminal cleavage/methylation domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001046420.1,ACICU_RS16840,VF1334
VFG050595(gb|WP_000788342.1) (pilE) type IV pilin protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000788342.1,pilE,VF1334
VFG050610(gb|WP_000477147.1) (fimT) GspH/FimT family pseudopilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000477147.1,fimT,VF1334
VFG050625(gb|WP_000389061.1) (pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000389061.1,pilG,VF1334
VFG050640(gb|WP_000101096.1) (pilH) response regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000101096.1,pilH,VF1334
VFG050655(gb|WP_000729757.1) (pilI) chemotaxis protein CheW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000729757.1,pilI,VF1334
VFG050670(gb|WP_000505931.1) (pilJ) methyl-accepting chemotaxis protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000505931.1,pilJ,VF1334
VFG050685(gb|WP_001160337.1) (pilS) PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_001160337.1,pilS,VF1334
VFG050699(gb|WP_000840548.1) (pilR) sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],gb|WP_000840548.1,pilR,VF1334
VFG050712(gb|WP_000730343.1) (gspN) type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000730343.1,gspN,VF1335
VFG050727(gb|WP_000870033.1) (gspC) general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000870033.1,gspC,VF1335
VFG050742(gb|WP_001196426.1) (gspD) general secretion pathway protein D [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001196426.1,gspD,VF1335
VFG050757(gb|WP_001166319.1) (gspE1) general secretion pathway protein E [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001166319.1,gspE1,VF1335
VFG050772(gb|WP_001020922.1) (gspE2) putative secretion pathway ATPase [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001020922.1,gspE2,VF1335
VFG050787(gb|WP_001112089.1) (gspF) general secretion pathway protein F [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001112089.1,gspF,VF1335
VFG050802(gb|WP_000865310.1) (gspG) general secretion pathway protein G [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000865310.1,gspG,VF1335
VFG050817(gb|WP_000841373.1) (gspH) general secretion pathway protein H [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000841373.1,gspH,VF1335
VFG050832(gb|WP_000836911.1) (gspI) general secretion pathway protein I [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000836911.1,gspI,VF1335
VFG050860(gb|WP_000301479.1) (gspK) general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000301479.1,gspK,VF1335
VFG050874(gb|WP_001989189.1) (gspL) general secretion pathway protein L [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001989189.1,gspL,VF1335
VFG050889(gb|WP_000783000.1) (gspM) general secretion pathway protein M [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000783000.1,gspM,VF1335
VFG050901(gb|WP_005119983.1) (cpaA) metalloendopeptidase CpaA [CpaA (VF1336) - Exoenzyme (VFC0251)] [Acinetobacter baumannii BJAB0715],gb|WP_005119983.1,cpaA,VF1336
VFG050910(gb|WP_001178477.1) (vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001178477.1,vgrG/tssI,VF1337
VFG050911(gb|WP_000934999.1) (vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000934999.1,vgrG/tssI,VF1337
VFG050912(gb|WP_000898330.1) (vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000898330.1,vgrG/tssI,VF1337
VFG050946(gb|WP_000083625.1) (tssL) type IVB secretion system protein TssL [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000083625.1,tssL,VF1337
VFG050959(gb|WP_000556915.1) (tssM) type VI secretion system membrane subunit TssM [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000556915.1,tssM,VF1337
"VFG050972(gb|WP_000972583.1) (tagX) type VI-associated gene X, peptidoglycan hydrolase [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]",gb|WP_000972583.1,tagX,VF1337
VFG050986(gb|WP_001047031.1) (tssE) type VI secretion system baseplate subunit TssE [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001047031.1,tssE,VF1337
VFG051000(gb|WP_000568832.1) (tssF) type VI secretion system baseplate subunit TssF [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000568832.1,tssF,VF1337
VFG051014(gb|WP_001190395.1) (tssG) type VI secretion system baseplate subunit TssG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001190395.1,tssG,VF1337
VFG051028(gb|WP_000471445.1) (tssK) type VI secretion system baseplate subunit TssK [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000471445.1,tssK,VF1337
VFG051042(gb|WP_000653195.1) (hcp/tssD) type VI secretion system tube protein Hcp [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_000653195.1,hcp/tssD,VF1337
VFG051056(gb|WP_001119042.1) (tssB) type VI secretion system contractile sheath small subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001119042.1,tssB,VF1337
VFG051070(gb|WP_001066523.1) (tssC) type VI secretion system contractile sheath large subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],gb|WP_001066523.1,tssC,VF1337
